filename,pred_color,pred_char,true_color,true_char,color_error,char_error,error_type
00015_5.png,r,P,r,D,False,True,char_only
00020_4.png,u,Q,u,O,False,True,char_only
00070_2.png,r,F,r,E,False,True,char_only
00287_3.png,u,0,u,O,False,True,char_only
00316_1.png,u,0,u,O,False,True,char_only
00368_3.png,r,F,r,2,False,True,char_only
00384_2.png,u,Q,u,0,False,True,char_only
00397_3.png,r,8,r,0,False,True,char_only
00480_2.png,r,7,r,I,False,True,char_only
00554_2.png,u,P,u,F,False,True,char_only
00650_3.png,r,H,u,H,True,False,color_only
00653_2.png,r,O,r,G,False,True,char_only
00672_5.png,r,6,r,0,False,True,char_only
00691_1.png,u,L,u,U,False,True,char_only
00786_5.png,u,2,u,3,False,True,char_only
00801_1.png,u,0,u,9,False,True,char_only
00820_1.png,u,Q,u,9,False,True,char_only
00846_1.png,u,J,u,I,False,True,char_only
00846_4.png,u,A,u,4,False,True,char_only
00854_5.png,r,H,r,8,False,True,char_only
00881_3.png,u,H,u,K,False,True,char_only
00888_1.png,u,W,u,M,False,True,char_only
00923_3.png,u,Y,u,V,False,True,char_only
00939_4.png,u,J,u,I,False,True,char_only
00942_3.png,u,O,u,0,False,True,char_only
00957_2.png,u,O,u,0,False,True,char_only
01020_4.png,u,8,u,9,False,True,char_only
01032_3.png,r,V,r,Y,False,True,char_only
01036_4.png,u,T,u,I,False,True,char_only
01097_4.png,u,M,u,N,False,True,char_only
01182_2.png,r,O,r,0,False,True,char_only
01233_3.png,r,I,r,J,False,True,char_only
01256_1.png,u,I,u,A,False,True,char_only
01306_5.png,r,7,u,7,True,False,color_only
01316_5.png,u,F,u,E,False,True,char_only
01323_3.png,r,L,r,E,False,True,char_only
01332_5.png,u,4,u,A,False,True,char_only
01414_5.png,r,0,r,O,False,True,char_only
01506_5.png,r,J,u,J,True,False,color_only
01526_5.png,r,W,r,H,False,True,char_only
01552_4.png,u,O,u,C,False,True,char_only
01592_4.png,u,3,u,2,False,True,char_only
01653_5.png,r,4,r,6,False,True,char_only
01676_3.png,u,7,u,Z,False,True,char_only
01822_5.png,r,1,r,7,False,True,char_only
01834_4.png,r,P,r,D,False,True,char_only
01868_5.png,r,B,r,R,False,True,char_only
01910_2.png,u,0,u,O,False,True,char_only
01917_3.png,u,B,u,D,False,True,char_only
01985_1.png,u,6,u,G,False,True,char_only
01996_5.png,u,T,u,7,False,True,char_only
02011_2.png,u,I,u,1,False,True,char_only
02104_4.png,u,J,u,X,False,True,char_only
02106_4.png,u,D,u,O,False,True,char_only
02153_2.png,r,I,r,J,False,True,char_only
02183_4.png,u,T,u,2,False,True,char_only
02230_1.png,r,4,r,H,False,True,char_only
02250_1.png,u,L,u,E,False,True,char_only
02319_1.png,r,L,r,I,False,True,char_only
02346_2.png,r,O,r,0,False,True,char_only
